% Service logfile
% 1 	Time (sec)
% 2 	Message
1739279824.1484 Setup finished OK=1
1739552436.4835 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.4832087
1739552436.4933 Mixer order: robobot/cmd/ti/rc 0.250 0.994 1739552436.4930272
1739552436.5035 Mixer order: robobot/cmd/ti/rc 0.250 0.998 1739552436.503316
1739552436.5138 Mixer order: robobot/cmd/ti/rc 0.250 0.981 1739552436.513267
1739552436.5238 Mixer order: robobot/cmd/ti/rc 0.250 0.959 1739552436.5233188
1739552436.5345 Mixer order: robobot/cmd/ti/rc 0.250 0.949 1739552436.5340164
1739552436.5444 Mixer order: robobot/cmd/ti/rc 0.250 0.961 1739552436.5438018
1739552436.5536 Mixer order: robobot/cmd/ti/rc 0.250 0.940 1739552436.5533032
1739552436.5660 Mixer order: robobot/cmd/ti/rc 0.250 0.908 1739552436.5650265
1739552436.5766 Mixer order: robobot/cmd/ti/rc 0.250 0.884 1739552436.5745873
1739552436.5844 Mixer order: robobot/cmd/ti/rc 0.250 0.864 1739552436.5839932
1739552436.5943 Mixer order: robobot/cmd/ti/rc 0.250 0.834 1739552436.5938637
1739552436.6037 Mixer order: robobot/cmd/ti/rc 0.250 0.824 1739552436.6033168
1739552436.6144 Mixer order: robobot/cmd/ti/rc 0.250 0.789 1739552436.6140642
1739552436.6241 Mixer order: robobot/cmd/ti/rc 0.250 0.750 1739552436.6237404
1739552436.6337 Mixer order: robobot/cmd/ti/rc 0.250 0.747 1739552436.6332967
1739552436.6436 Mixer order: robobot/cmd/ti/rc 0.250 0.713 1739552436.6432376
1739552436.6540 Mixer order: robobot/cmd/ti/rc 0.250 0.695 1739552436.6536336
1739552436.6635 Mixer order: robobot/cmd/ti/rc 0.250 0.659 1739552436.6631522
1739552436.6741 Mixer order: robobot/cmd/ti/rc 0.250 0.630 1739552436.6737409
1739552436.6835 Mixer order: robobot/cmd/ti/rc 0.250 0.608 1739552436.6832762
1739552436.6945 Mixer order: robobot/cmd/ti/rc 0.250 0.558 1739552436.6940954
1739552436.7040 Mixer order: robobot/cmd/ti/rc 0.250 0.532 1739552436.7036264
1739552436.7139 Mixer order: robobot/cmd/ti/rc 0.250 0.500 1739552436.713511
1739552436.7245 Mixer order: robobot/cmd/ti/rc 0.250 0.465 1739552436.7241023
1739552436.7340 Mixer order: robobot/cmd/ti/rc 0.250 0.435 1739552436.733686
1739552436.7435 Mixer order: robobot/cmd/ti/rc 0.250 0.400 1739552436.743258
1739552436.7547 Mixer order: robobot/cmd/ti/rc 0.250 0.377 1739552436.754038
1739552436.7678 Mixer order: robobot/cmd/ti/rc 0.250 0.353 1739552436.7657776
1739552436.7744 Mixer order: robobot/cmd/ti/rc 0.250 0.323 1739552436.7736087
1739552436.7851 Mixer order: robobot/cmd/ti/rc 0.250 0.301 1739552436.78445
1739552436.7942 Mixer order: robobot/cmd/ti/rc 0.250 0.279 1739552436.7938144
1739552436.8042 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.8034055
1739552436.8139 Mixer order: robobot/cmd/ti/rc 0.250 -0.887 1739552436.813682
1739552436.8242 Mixer order: robobot/cmd/ti/rc 0.250 -0.888 1739552436.8237636
1739552436.8339 Mixer order: robobot/cmd/ti/rc 0.250 -0.943 1739552436.8335438
1739552436.8445 Mixer order: robobot/cmd/ti/rc 0.250 -0.958 1739552436.8439393
1739552436.8542 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.853875
1739552436.8639 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.8635013
1739552436.8739 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.8736715
1739552436.8843 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.8836064
1739552436.8945 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.8940322
1739552436.9039 Mixer order: robobot/cmd/ti/rc 0.250 -0.983 1739552436.9035
1739552436.9142 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9137874
1739552436.9246 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9241755
1739552436.9336 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9333346
1739552436.9448 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9443161
1739552436.9544 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9539783
1739552436.9657 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.965045
1739552436.9743 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9738133
1739552436.9842 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.9837208
1739552436.9945 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552436.994188
1739552437.0033 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.0031013
1739552437.0146 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.014134
1739552437.0244 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.0237877
1739552437.0338 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.0335054
1739552437.0445 Mixer order: robobot/cmd/ti/rc 0.250 -0.997 1739552437.044146
1739552437.0543 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.0536127
1739552437.0641 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.0638316
1739552437.0747 Mixer order: robobot/cmd/ti/rc 0.250 -0.972 1739552437.0742836
1739552437.0840 Mixer order: robobot/cmd/ti/rc 0.250 -0.961 1739552437.0836475
1739552437.0937 Mixer order: robobot/cmd/ti/rc 0.250 -0.967 1739552437.0933015
1739552437.1043 Mixer order: robobot/cmd/ti/rc 0.250 -0.963 1739552437.1038506
