% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1739552413.0664 0.179 0.009 0.3489 -3.1162
1739552413.0721 0.179 0.009 0.3520 -3.1159
1739552413.0769 0.180 0.010 0.3552 -3.1154
1739552413.0817 0.180 0.010 0.3552 -3.1151
1739552413.0864 0.181 0.010 0.3584 -3.1150
1739552413.0912 0.181 0.010 0.3600 -3.1149
1739552413.0965 0.182 0.010 0.3616 -3.1145
1739552413.1013 0.182 0.011 0.3631 -3.1142
1739552413.1062 0.182 0.011 0.3663 -3.1141
1739552413.1119 0.183 0.011 0.3679 -3.1140
1739552413.1166 0.183 0.011 0.3695 -3.1140
1739552413.1218 0.184 0.011 0.3727 -3.1139
1739552413.1267 0.184 0.011 0.3774 -3.1137
1739552413.1318 0.185 0.012 0.3774 -3.1136
1739552413.1369 0.185 0.012 0.3822 -3.1136
1739552413.1419 0.186 0.012 0.3838 -3.1135
1739552413.1468 0.186 0.012 0.3885 -3.1134
1739552413.1518 0.187 0.012 0.3885 -3.1132
1739552413.1570 0.187 0.013 0.3933 -3.1127
1739552413.1621 0.187 0.013 0.3949 -3.1125
1739552413.1666 0.188 0.013 0.3996 -3.1123
1739552413.1713 0.188 0.013 0.4012 -3.1124
1739552413.1763 0.189 0.013 0.4044 -3.1128
1739552413.1819 0.189 0.013 0.4076 -3.1135
1739552413.1872 0.189 0.014 0.4091 -3.1142
1739552413.1916 0.190 0.014 0.4123 -3.1146
1739552413.1965 0.190 0.014 0.4139 -3.1147
1739552413.2015 0.191 0.014 0.4171 -3.1145
1739552413.2064 0.191 0.014 0.4187 -3.1138
1739552413.2116 0.192 0.014 0.4202 -3.1134
1739552413.2167 0.192 0.015 0.4234 -3.1131
1739552413.2216 0.193 0.015 0.4250 -3.1131
1739552413.2267 0.193 0.015 0.4266 -3.1131
1739552413.2317 0.194 0.015 0.4282 -3.1127
1739552413.2363 0.194 0.016 0.4313 -3.1123
1739552413.2420 0.195 0.016 0.4313 -3.1123
1739552413.2469 0.195 0.016 0.4345 -3.1124
1739552413.2517 0.196 0.016 0.4361 -3.1124
1739552413.2566 0.196 0.017 0.4377 -3.1121
1739552413.2613 0.197 0.017 0.4409 -3.1119
1739552413.2670 0.197 0.017 0.4440 -3.1119
1739552413.2719 0.197 0.017 0.4472 -3.1118
1739552413.2768 0.198 0.017 0.4520 -3.1118
1739552413.2816 0.198 0.018 0.4551 -3.1117
1739552413.2864 0.198 0.018 0.4583 -3.1116
1739552413.2921 0.199 0.018 0.4615 -3.1116
1739552413.2968 0.199 0.018 0.4662 -3.1119
1739552413.3016 0.199 0.018 0.4678 -3.1127
1739552413.3064 0.200 0.018 0.4694 -3.1134
1739552413.3121 0.200 0.019 0.4726 -3.1138
1739552413.3170 0.201 0.019 0.4757 -3.1146
1739552413.3218 0.201 0.019 0.4773 -3.1148
1739552413.3265 0.202 0.019 0.4821 -3.1149
1739552413.3316 0.202 0.020 0.4837 -3.1148
1739552413.3364 0.203 0.020 0.4868 -3.1148
1739552413.3422 0.203 0.020 0.4868 -3.1147
1739552413.3470 0.204 0.020 0.4900 -3.1143
1739552413.3518 0.204 0.021 0.4900 -3.1141
1739552413.3568 0.204 0.021 0.4916 -3.1140
1739552413.3617 0.205 0.021 0.4932 -3.1139
1739552413.3670 0.206 0.021 0.4964 -3.1138
1739552413.3723 0.206 0.022 0.4979 -3.1135
1739552413.3764 0.207 0.022 0.5027 -3.1131
1739552413.3814 0.207 0.022 0.5059 -3.1129
1739552413.3871 0.207 0.022 0.5075 -3.1126
1739552413.3921 0.208 0.023 0.5090 -3.1126
1739552413.3970 0.208 0.023 0.5138 -3.1123
1739552413.4017 0.208 0.023 0.5154 -3.1119
1739552413.4066 0.209 0.023 0.5201 -3.1111
1739552413.4113 0.209 0.023 0.5217 -3.1108
1739552413.4170 0.209 0.024 0.5249 -3.1108
1739552413.4218 0.210 0.024 0.5281 -3.1109
1739552413.4265 0.210 0.024 0.5328 -3.1110
1739552413.4322 0.210 0.024 0.5344 -3.1111
1739552413.4371 0.211 0.025 0.5376 -3.1122
1739552413.4418 0.211 0.025 0.5408 -3.1131
